flight_id,aircraft_id,origin,destination,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,delay_minutes,fare_usd
F133,B737,PNQ,MUM,2025-10-06T04:06:00,2025-10-06T04:26:00,2025-10-06T06:55:00,2025-10-06T07:00:00,completed,5,193
F494,A321,DEL,BLR,2025-10-06T09:54:00,,2025-10-06T11:34:00,,cancelled,,0
F007,A321,GOI,DEL,2025-10-05T08:07:00,2025-10-05T08:16:00,2025-10-05T11:01:00,2025-10-05T11:06:00,completed,5,191
F972,A320,PNQ,BLR,2025-10-05T06:11:00,2025-10-05T06:33:00,2025-10-05T08:42:00,2025-10-05T09:05:00,completed,23,164
F114,B737,HYD,DEL,2025-10-06T21:49:00,,2025-10-06T23:24:00,,cancelled,,0
F378,A321,PNQ,HYD,2025-10-06T23:59:00,2025-10-07T00:20:00,2025-10-07T01:52:00,2025-10-07T02:19:00,completed,27,147
F772,B737,HYD,MUM,2025-10-06T11:14:00,,2025-10-06T14:05:00,,cancelled,,0
F520,A350,HYD,CCU,2025-10-06T07:30:00,2025-10-06T07:48:00,2025-10-06T09:04:00,2025-10-06T09:16:00,completed,12,126
F827,A350,BLR,HYD,2025-10-05T18:31:00,2025-10-05T18:33:00,2025-10-05T21:26:00,2025-10-05T21:55:00,completed,29,214
F656,B777,BLR,MUM,2025-10-05T07:17:00,2025-10-05T07:39:00,2025-10-05T10:03:00,2025-10-05T10:17:00,completed,14,208
F499,A320,PNQ,MUM,2025-10-06T17:33:00,,2025-10-06T19:47:00,,cancelled,,0
F409,A320,GOI,MUM,2025-10-05T13:13:00,2025-10-05T13:28:00,2025-10-05T15:37:00,2025-10-05T15:41:00,completed,4,164
F074,A320,HYD,CCU,2025-10-06T03:35:00,2025-10-06T03:36:00,2025-10-06T06:14:00,2025-10-06T06:27:00,completed,13,189
F658,B737,BLR,PNQ,2025-10-06T07:58:00,2025-10-06T08:14:00,2025-10-06T10:19:00,2025-10-06T10:19:00,completed,0,151
F542,B787,CCU,MUM,2025-10-06T23:30:00,2025-10-06T23:43:00,2025-10-07T02:17:00,2025-10-07T02:23:00,completed,6,202
